,dt,Country,avg
346,1754,Albania,12.54816667
347,1754,Andorra,11.11616667
348,1754,Austria,5.9073333329999995
349,1754,Belarus,5.692916667
350,1754,Belgium,9.137916667
351,1754,Bosnia And Herzegovina,10.25216667
352,1754,Bulgaria,10.45675
353,1754,Croatia,11.13025
354,1754,Czech Republic,7.285416667000001
355,1754,Denmark (Europe),7.433083333
356,1754,Estonia,4.653916667
357,1754,Europe,7.707333332999999
358,1754,Faroe Islands,6.62175
359,1754,Finland,1.243916667
360,1754,France,12.66625
361,1754,France (Europe),10.23558333
362,1754,Germany,7.7598333329999996
363,1754,Greece,14.79483333
364,1754,Guernsey,10.78158333
365,1754,Hungary,9.501416667
366,1754,Iceland,1.557916667
367,1754,Ireland,9.356416667000001
368,1754,Isle Of Man,9.209
369,1754,Italy,12.56325
370,1754,Jersey,10.78158333
371,1754,Latvia,5.123416667
372,1754,Liechtenstein,4.326666667
373,1754,Lithuania,5.677166667000001
374,1754,Luxembourg,8.827583333
375,1754,Macedonia,10.32166667
376,1754,Malta,18.51275
377,1754,Moldova,8.887666667000001
378,1754,Monaco,8.81275
379,1754,Montenegro,10.10791667
380,1754,Netherlands,9.111833333
381,1754,Netherlands (Europe),8.705916667
382,1754,Norway,0.08416666699999999
383,1754,Poland,7.148
384,1754,Portugal,14.78791667
385,1754,Romania,8.669833333
386,1754,Saint Pierre And Miquelon,4.618
387,1754,San Marino,13.60925
388,1754,Serbia,9.86275
389,1754,Slovakia,7.269166667
390,1754,Slovenia,9.40675
391,1754,Spain,13.65508333
392,1754,Sweden,2.274333333
393,1754,Switzerland,6.7115
394,1754,Tunisia,20.03833333
395,1754,Ukraine,7.63525
396,1754,United Kingdom,8.338833333
397,1754,United Kingdom (Europe),8.478666667
398,1755,Albania,12.32258333
399,1755,Andorra,10.80666667
400,1755,Austria,5.6719166670000005
401,1755,Belarus,5.580166667
402,1755,Belgium,8.885583333
403,1755,Bosnia And Herzegovina,10.03791667
404,1755,Bulgaria,10.24416667
405,1755,Croatia,10.9145
406,1755,Czech Republic,7.0628333329999995
407,1755,Denmark (Europe),7.222333333
408,1755,Estonia,4.55375
409,1755,Europe,7.4589166670000004
410,1755,Faroe Islands,6.267666667
411,1755,Finland,1.03325
412,1755,France,12.3435
413,1755,France (Europe),9.91075
414,1755,Germany,7.52
415,1755,Greece,14.55533333
416,1755,Guernsey,10.47266667
417,1755,Hungary,9.299
418,1755,Iceland,1.20225
419,1755,Ireland,9.049666667
420,1755,Isle Of Man,8.924583333
421,1755,Italy,12.32983333
422,1755,Jersey,10.47266667
423,1755,Latvia,5.003666667
424,1755,Liechtenstein,4.053333333
425,1755,Lithuania,5.54075
426,1755,Luxembourg,8.545583333
427,1755,Macedonia,10.09941667
428,1755,Malta,18.25475
429,1755,Moldova,8.713583332999999
430,1755,Monaco,8.5545
431,1755,Montenegro,9.890083333
432,1755,Netherlands,8.92475
433,1755,Netherlands (Europe),8.521666667
434,1755,Norway,-0.271916667
435,1755,Poland,6.966333333
436,1755,Portugal,14.47891667
437,1755,Romania,8.478083332999999
438,1755,Saint Pierre And Miquelon,1.9281
439,1755,San Marino,13.392000000000001
440,1755,Serbia,9.65225
441,1755,Slovakia,7.072416667000001
442,1755,Slovenia,9.1855
443,1755,Spain,13.34466667
444,1755,Sweden,1.9205
445,1755,Switzerland,6.3995
446,1755,Tunisia,19.76458333
447,1755,Ukraine,7.47825
448,1755,United Kingdom,8.054833333
449,1755,United Kingdom (Europe),8.196583333
450,1756,Albania,13.02591667
451,1756,Andorra,11.09783333
452,1756,Austria,6.463583333
453,1756,Belarus,6.297416667
454,1756,Belgium,9.398
455,1756,Bosnia And Herzegovina,10.77
456,1756,Bulgaria,11.01225
457,1756,Croatia,11.65091667
458,1756,Czech Republic,8.079666667
459,1756,Denmark (Europe),8.002666667
460,1756,Estonia,5.038083333
461,1756,Europe,8.06125
462,1756,Faroe Islands,6.777833332999999
463,1756,Finland,1.4245833330000002
464,1756,France,12.710999999999999
465,1756,France (Europe),10.22725
466,1756,Germany,8.40875
467,1756,Greece,15.25666667
468,1756,Guernsey,10.83166667
469,1756,Hungary,10.1645
470,1756,Iceland,1.7383333330000001
471,1756,Ireland,9.501416667
472,1756,Isle Of Man,9.39425
473,1756,Italy,12.84875
474,1756,Jersey,10.83166667
475,1756,Latvia,5.596833332999999
476,1756,Liechtenstein,4.63825
477,1756,Lithuania,6.263083332999999
478,1756,Luxembourg,9.052916667
479,1756,Macedonia,10.82941667
480,1756,Malta,18.79458333
481,1756,Moldova,9.511416667
482,1756,Monaco,8.863
483,1756,Montenegro,10.61608333
484,1756,Netherlands,9.568666667
485,1756,Netherlands (Europe),9.166583333
486,1756,Norway,0.19475
487,1756,Poland,7.9764166670000005
488,1756,Portugal,14.83433333
489,1756,Romania,9.295833333
490,1756,Saint Pierre And Miquelon,5.321555556
491,1756,San Marino,13.99491667
492,1756,Serbia,10.4285
493,1756,Slovakia,8.012666667000001
494,1756,Slovenia,9.906583333
495,1756,Spain,13.67566667
496,1756,Sweden,2.3930000000000002
497,1756,Switzerland,6.789333332999999
498,1756,Tunisia,20.22908333
499,1756,Ukraine,8.2355
500,1756,United Kingdom,8.536083332999999
501,1756,United Kingdom (Europe),8.669583333
502,1757,Albania,12.73033333
503,1757,Andorra,10.86825
504,1757,Austria,6.097166667000001
505,1757,Belarus,6.301666667
506,1757,Belgium,9.221416667
507,1757,Bosnia And Herzegovina,10.43908333
508,1757,Bulgaria,10.75983333
509,1757,Croatia,11.30675
510,1757,Czech Republic,7.69675
511,1757,Denmark (Europe),8.038
512,1757,Estonia,5.271333333
513,1757,Europe,7.957333332999999
514,1757,Faroe Islands,6.865833332999999
515,1757,Finland,1.7018333330000002
516,1757,France,12.52158333
517,1757,France (Europe),10.01558333
518,1757,Germany,8.108583333
519,1757,Greece,14.99866667
520,1757,Guernsey,10.70175
521,1757,Hungary,9.841083333
522,1757,Iceland,1.773833333
523,1757,Ireland,9.462833332999999
524,1757,Isle Of Man,9.364916667000001
525,1757,Italy,12.53258333
526,1757,Jersey,10.70175
527,1757,Latvia,5.741333332999999
528,1757,Liechtenstein,4.295916667
529,1757,Lithuania,6.301833332999999
530,1757,Luxembourg,8.84275
531,1757,Macedonia,10.54316667
532,1757,Malta,18.53691667
533,1757,Moldova,9.334916667
534,1757,Monaco,8.576083333
535,1757,Montenegro,10.30666667
536,1757,Netherlands,9.43625
537,1757,Netherlands (Europe),9.032666667
538,1757,Norway,0.38025
539,1757,Poland,7.746
540,1757,Portugal,14.71033333
541,1757,Romania,9.050583332999999
542,1757,Saint Pierre And Miquelon,3.756818182
543,1757,San Marino,13.64883333
544,1757,Serbia,10.12441667
545,1757,Slovakia,7.69475
546,1757,Slovenia,9.549333333
547,1757,Spain,13.51175
548,1757,Sweden,2.628166667
549,1757,Switzerland,6.481583333
550,1757,Tunisia,20.01741667
551,1757,Ukraine,8.129
552,1757,United Kingdom,8.501583333
553,1757,United Kingdom (Europe),8.638333333
554,1758,Albania,11.44433333
555,1758,Andorra,10.14466667
556,1758,Austria,5.363416667
557,1758,Bahamas,24.65044444
558,1758,Belarus,4.343666667
559,1758,Belgium,8.914333333
560,1758,Bosnia And Herzegovina,9.395333333
561,1758,Bulgaria,9.199083332999999
562,1758,Croatia,10.38033333
563,1758,Czech Republic,6.798416667000001
564,1758,Denmark (Europe),7.115583332999999
565,1758,Estonia,3.239583333
566,1758,Europe,6.690833333
567,1758,Faroe Islands,5.5839166670000004
568,1758,Finland,-0.338083333
569,1758,France,11.73733333
570,1758,France (Europe),9.486
571,1758,Germany,7.496083333
572,1758,Greece,13.49125
573,1758,Guernsey,10.06833333
574,1758,Hungary,8.688166667
575,1758,Iceland,0.150666667
576,1758,Ireland,8.506916667
577,1758,Isle Of Man,8.607583333
578,1758,Italy,11.79216667
579,1758,Jersey,10.06833333
580,1758,Latvia,3.844083333
581,1758,Liechtenstein,3.82775
582,1758,Lithuania,4.550666667
583,1758,Luxembourg,8.512
584,1758,Macedonia,9.176
585,1758,Malta,17.27616667
586,1758,Moldova,7.551333333
587,1758,Monaco,8.151
588,1758,Montenegro,9.09675
589,1758,Netherlands,9.083916667
590,1758,Netherlands (Europe),8.716833333
591,1758,Norway,-1.1045
592,1758,Poland,6.4290833329999995
593,1758,Portugal,13.35633333
